               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.05258,            0.032737,            0.022586,             0.48751,             0.71042,             0.58718,             0.26309,            0.058227,            0.097065,            0.015287,           0.0043056,           0.0043056,            0.060006
                  37,            0.046755,            0.035102,            0.022245,             0.87765,             0.70545,             0.80364,              0.3809,            0.046373,             0.10208,             0.01285,           0.0044151,           0.0044151,            0.058915
                  38,            0.047492,            0.033942,            0.020567,             0.52293,              0.8781,             0.79678,             0.37144,            0.043737,            0.097906,            0.015805,            0.004524,            0.004524,            0.057824
                  39,            0.048134,            0.034257,            0.021245,             0.90672,             0.66568,             0.83887,             0.37709,            0.048906,            0.096378,            0.014426,           0.0046324,           0.0046324,            0.056732
                  40,            0.046061,             0.03271,            0.018836,             0.97773,             0.59441,             0.85125,             0.34949,            0.050428,            0.096281,            0.011762,           0.0047402,           0.0047402,             0.05564
                  41,            0.053063,             0.02895,            0.021054,             0.43173,             0.32994,              0.3998,             0.12798,            0.063292,             0.26315,            0.026576,           0.0048474,           0.0048474,            0.054547
                  42,            0.061947,            0.033378,             0.01852,             0.69645,             0.78264,             0.83107,             0.35558,            0.050141,             0.09403,             0.01273,           0.0049539,           0.0049539,            0.053454
                  43,            0.056771,            0.028971,            0.020264,             0.73988,             0.67862,             0.77357,             0.38546,            0.052838,             0.10262,            0.011134,           0.0050599,           0.0050599,             0.05236
                  44,            0.057558,            0.032708,            0.018531,             0.63476,             0.85871,             0.74219,             0.35818,            0.048808,             0.11188,            0.011945,           0.0051652,           0.0051652,            0.051265
                  45,            0.058157,            0.034339,            0.020965,             0.49079,             0.54611,             0.58412,             0.18033,            0.054672,             0.17948,            0.017301,           0.0052698,           0.0052698,             0.05017
                  46,            0.056192,             0.03156,            0.018313,             0.80466,             0.73587,             0.85536,             0.33187,            0.041647,             0.10706,             0.01077,           0.0053737,           0.0053737,            0.049074
                  47,            0.054593,            0.035163,            0.016976,             0.87343,             0.82622,             0.93212,             0.40667,            0.042872,            0.093334,           0.0093505,            0.005477,            0.005477,            0.047977
                  48,            0.052013,            0.031806,            0.017256,              0.7654,             0.84516,             0.87737,             0.39097,            0.040038,             0.09869,            0.009212,           0.0055796,           0.0055796,             0.04688
                  49,            0.052144,            0.043063,            0.017492,             0.69485,             0.61447,             0.67862,             0.27413,              0.0471,             0.12685,            0.011493,           0.0056814,           0.0056814,            0.045781
                  50,            0.052795,            0.034281,            0.015315,             0.66731,             0.77744,             0.80209,             0.27332,            0.042861,            0.098466,            0.010267,           0.0057826,           0.0057826,            0.044683
                  51,            0.052091,            0.031853,             0.01499,             0.80345,             0.84227,             0.87571,             0.40118,            0.038391,             0.13532,            0.010128,            0.005883,            0.005883,            0.043583
                  52,            0.050328,            0.030745,            0.014842,             0.67619,             0.72701,             0.85899,             0.35949,            0.046346,             0.20565,            0.012115,           0.0059826,           0.0059826,            0.042483
                  53,             0.05166,            0.032611,            0.014714,             0.84315,             0.87943,             0.94656,             0.40989,            0.041076,             0.11292,           0.0086484,           0.0060815,           0.0060815,            0.041382
                  54,            0.053537,            0.031342,            0.015026,             0.58306,             0.54902,             0.62348,             0.24382,            0.053122,             0.17834,            0.011178,           0.0061796,           0.0061796,             0.04028
                  55,            0.050697,            0.031434,            0.015158,             0.78146,              0.7901,             0.90897,              0.3844,            0.037634,             0.12416,           0.0095474,            0.006277,            0.006277,            0.039177
                  56,            0.049835,            0.032147,            0.014679,             0.66426,             0.67708,             0.77956,             0.28071,            0.038248,              0.1775,            0.011719,           0.0063735,           0.0063735,            0.038074
                  57,            0.050127,            0.026677,            0.013539,              0.7182,             0.84776,             0.90004,             0.42168,            0.038994,             0.10201,           0.0084101,           0.0064693,           0.0064693,            0.036969
                  58,            0.049786,            0.029414,            0.014181,             0.82871,             0.91564,             0.94067,             0.41045,            0.033341,            0.097786,           0.0078014,           0.0065642,           0.0065642,            0.035864
                  59,            0.049644,            0.029556,            0.013682,             0.92145,             0.84141,             0.98349,             0.43028,             0.04709,             0.10152,           0.0079135,           0.0066583,           0.0066583,            0.034758
                  60,            0.050643,            0.030609,            0.014876,             0.86064,              0.9543,             0.96112,              0.5041,            0.039093,             0.09637,           0.0088986,           0.0067516,           0.0067516,            0.033652
                  61,            0.048025,            0.029533,             0.01347,             0.51329,             0.79071,             0.75562,             0.31392,            0.038075,             0.15494,            0.014352,            0.006844,            0.006844,            0.032544
                  62,            0.047394,             0.02887,            0.013579,             0.73604,              0.8793,             0.80886,             0.38443,            0.039416,             0.12717,            0.007968,           0.0069355,           0.0069355,            0.031436
                  63,            0.047457,            0.033641,            0.012855,             0.84054,             0.78472,             0.92469,             0.46926,            0.045288,             0.11673,           0.0081064,           0.0070262,           0.0070262,            0.030326
                  64,            0.045614,            0.035461,            0.011608,             0.78209,             0.70187,             0.77654,             0.36822,            0.038513,             0.18364,           0.0094195,            0.007116,            0.007116,            0.029216
                  65,            0.045738,            0.038788,             0.01253,             0.76381,             0.80896,             0.76726,             0.39374,            0.040485,             0.10368,           0.0079076,           0.0072049,           0.0072049,            0.028105
                  66,            0.046023,            0.027486,            0.012173,              0.7293,             0.90313,             0.94403,             0.43577,            0.035673,             0.14007,           0.0085199,           0.0072929,           0.0072929,            0.026993
                  67,            0.048278,            0.027652,            0.012166,             0.75112,             0.79068,             0.90041,             0.41205,            0.039133,             0.12242,           0.0081387,             0.00738,             0.00738,             0.02588
                  68,            0.046473,            0.032065,            0.012558,             0.85999,             0.84859,             0.92862,             0.44444,            0.038131,            0.098175,           0.0074924,           0.0074661,           0.0074661,            0.024766
                  69,            0.044973,            0.028297,            0.011602,             0.73111,             0.91432,             0.92942,             0.45469,            0.040767,             0.15878,           0.0078367,           0.0075514,           0.0075514,            0.023651
                  70,            0.047187,            0.032018,            0.011819,             0.74841,             0.87344,             0.96349,             0.47775,            0.038661,             0.14181,           0.0074637,           0.0076357,           0.0076357,            0.022536
                  71,            0.047558,            0.028807,            0.012785,             0.95009,             0.91373,             0.99317,             0.43258,            0.036163,            0.097961,           0.0066174,            0.007719,            0.007719,            0.021419
                  72,            0.046479,            0.033246,            0.013429,             0.93295,             0.91681,              0.9817,              0.4716,            0.041492,             0.10321,            0.006239,           0.0078014,           0.0078014,            0.020301
                  73,            0.042895,            0.033006,            0.012752,             0.88424,             0.76826,             0.96474,             0.49208,            0.032455,             0.16021,            0.008066,           0.0078828,           0.0078828,            0.019183
                  74,            0.045926,            0.029724,            0.011969,             0.87032,             0.85608,             0.92854,             0.43699,            0.049705,             0.12128,           0.0068683,           0.0079632,           0.0079632,            0.018063
                  75,            0.041934,            0.029299,            0.011078,             0.87179,             0.92531,             0.95239,             0.40144,            0.034316,             0.12369,           0.0057171,           0.0080427,           0.0080427,            0.016943
                  76,            0.043317,            0.032271,            0.011856,             0.80172,             0.92384,             0.97626,             0.44372,            0.041747,             0.14616,           0.0062468,           0.0081212,           0.0081212,            0.015821
                  77,            0.041736,            0.031637,            0.011529,             0.94176,             0.81932,             0.94392,             0.52306,            0.045456,             0.14513,           0.0074844,           0.0081986,           0.0081986,            0.014699
                  78,            0.043992,            0.031336,            0.011057,             0.98822,             0.86118,             0.97008,             0.51762,            0.038265,             0.11382,           0.0072203,           0.0082751,           0.0082751,            0.013575
                  79,            0.044069,            0.029902,            0.010824,             0.96081,               0.929,              0.9862,             0.49661,            0.037766,             0.10667,           0.0070422,           0.0083505,           0.0083505,             0.01245
                  80,             0.04504,            0.027119,            0.011732,             0.78432,             0.68713,             0.87606,             0.37314,            0.046077,             0.25282,             0.02023,           0.0084249,           0.0084249,            0.011325
                  81,            0.042843,            0.031198,            0.010542,             0.96018,             0.90057,             0.98387,             0.52715,            0.035089,             0.11742,           0.0073488,           0.0084983,           0.0084983,            0.010198
                  82,            0.040989,            0.026765,            0.010799,             0.80556,             0.78612,             0.90642,             0.44846,            0.043234,             0.20619,            0.014565,           0.0085706,           0.0085706,           0.0090706
                  83,            0.045371,            0.029111,            0.011339,             0.93764,             0.98402,             0.98715,             0.50874,            0.037648,             0.10119,           0.0066911,           0.0085818,           0.0085818,           0.0085818
                  84,            0.040673,            0.028267,           0.0098683,             0.98699,             0.70692,             0.92153,             0.37204,            0.035198,             0.16862,            0.010084,           0.0085818,           0.0085818,           0.0085818
                  85,            0.039561,            0.031935,            0.010627,               0.953,             0.89365,             0.97825,             0.50158,            0.033332,             0.11363,           0.0067505,           0.0085497,           0.0085497,           0.0085497
                  86,             0.04091,            0.032484,             0.01008,             0.91806,             0.83929,             0.96163,             0.44771,            0.034503,             0.14358,           0.0076547,           0.0085173,           0.0085173,           0.0085173
                  87,             0.04045,             0.02707,           0.0094876,             0.93098,             0.77156,             0.96562,             0.45724,            0.039759,             0.13147,           0.0067652,           0.0084846,           0.0084846,           0.0084846
                  88,            0.040079,            0.027552,           0.0093762,              0.7923,              0.7423,              0.8374,             0.36919,            0.045593,             0.16161,           0.0084907,           0.0084516,           0.0084516,           0.0084516
                  89,            0.040702,            0.025016,           0.0091859,             0.95572,             0.63713,             0.91766,             0.41733,            0.040993,             0.14604,           0.0061638,           0.0084184,           0.0084184,           0.0084184
                  90,            0.040296,            0.028665,           0.0082559,             0.93714,             0.76731,             0.88407,             0.49836,            0.033274,             0.13225,           0.0071135,           0.0083849,           0.0083849,           0.0083849
                  91,            0.041815,            0.028089,           0.0098082,             0.68834,             0.76913,              0.8266,             0.39744,            0.043881,             0.22183,           0.0075688,           0.0083511,           0.0083511,           0.0083511
                  92,            0.040589,            0.025337,           0.0092549,             0.74482,             0.82595,             0.94274,              0.4837,            0.036081,             0.18553,           0.0073115,           0.0083171,           0.0083171,           0.0083171
                  93,            0.041566,            0.028873,            0.010539,             0.75959,             0.67163,             0.84907,             0.43905,            0.046221,             0.25447,            0.010234,           0.0082829,           0.0082829,           0.0082829
                  94,            0.040509,            0.029495,            0.008832,             0.87191,             0.84817,             0.93466,              0.5386,            0.037975,             0.14618,           0.0073512,           0.0082483,           0.0082483,           0.0082483
                  95,            0.039187,             0.02717,           0.0082406,             0.87874,             0.91159,             0.94732,             0.52008,            0.035648,            0.096415,           0.0077539,           0.0082136,           0.0082136,           0.0082136
                  96,            0.039203,            0.027489,           0.0097492,             0.98776,             0.90082,             0.98234,             0.47447,            0.039402,            0.091946,           0.0085887,           0.0081786,           0.0081786,           0.0081786
                  97,            0.037369,            0.025046,            0.008154,             0.93022,             0.91665,             0.98515,             0.49135,            0.044691,             0.11039,            0.005784,           0.0081433,           0.0081433,           0.0081433
                  98,            0.038825,            0.027582,           0.0085785,             0.97042,              0.9434,             0.98783,             0.52159,            0.034687,            0.099878,           0.0067323,           0.0081078,           0.0081078,           0.0081078
                  99,            0.038993,            0.034806,           0.0080278,             0.97058,              0.8847,             0.98833,             0.49529,            0.033551,             0.10807,             0.00676,           0.0080721,           0.0080721,           0.0080721
                 100,            0.038961,            0.026196,           0.0091982,              0.9155,             0.72885,             0.96021,             0.48893,            0.032933,             0.18215,           0.0062213,           0.0080362,           0.0080362,           0.0080362
                 101,            0.041235,             0.02838,           0.0072758,             0.91897,             0.91384,             0.97263,             0.42952,            0.040401,             0.12328,           0.0044999,               0.008,               0.008,               0.008
                 102,            0.038345,             0.02663,           0.0071829,             0.95975,             0.94891,             0.99209,             0.53948,            0.040031,            0.095665,           0.0040808,           0.0079636,           0.0079636,           0.0079636
                 103,            0.041562,             0.02617,           0.0069869,             0.95833,             0.85624,             0.93685,             0.52729,            0.033838,             0.12353,           0.0052639,            0.007927,            0.007927,            0.007927
                 104,            0.037884,            0.023662,            0.007559,             0.96019,             0.76604,             0.88161,              0.4905,            0.040143,             0.18189,            0.013486,           0.0078902,           0.0078902,           0.0078902
                 105,            0.037767,            0.026717,           0.0071017,             0.92929,             0.79408,             0.94016,             0.52252,            0.040155,             0.17401,           0.0093559,           0.0078532,           0.0078532,           0.0078532
                 106,            0.036409,            0.026383,           0.0069062,             0.84737,             0.80206,             0.90672,             0.39591,            0.040848,             0.17133,           0.0099003,            0.007816,            0.007816,            0.007816
                 107,            0.036751,            0.024543,           0.0074203,             0.93123,             0.77084,             0.96698,             0.48765,             0.03161,             0.14317,           0.0060272,           0.0077785,           0.0077785,           0.0077785
                 108,             0.03659,            0.025604,           0.0069303,             0.93762,             0.69943,             0.97806,             0.47531,            0.040211,             0.16533,           0.0069026,           0.0077409,           0.0077409,           0.0077409
                 109,            0.037097,            0.023289,           0.0065439,              0.9175,             0.91723,             0.99121,             0.50594,            0.038014,             0.12007,           0.0046573,           0.0077031,           0.0077031,           0.0077031
                 110,            0.036599,            0.020714,            0.006201,             0.91678,             0.89704,             0.97417,             0.51809,              0.0341,             0.15149,           0.0056404,           0.0076651,           0.0076651,           0.0076651
                 111,            0.038531,            0.023995,           0.0069712,             0.72466,             0.86731,             0.92059,             0.44877,             0.03668,             0.25385,            0.010836,           0.0076269,           0.0076269,           0.0076269
                 112,            0.036493,            0.023242,           0.0066132,             0.96456,             0.79709,              0.8915,              0.4528,            0.031106,             0.14964,           0.0075434,           0.0075886,           0.0075886,           0.0075886
                 113,            0.035003,            0.022702,            0.006683,             0.96679,              0.7208,             0.81855,             0.41664,            0.040442,             0.19495,            0.011964,           0.0075501,           0.0075501,           0.0075501
