               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.047895,             0.03473,            0.022422,             0.68155,             0.64135,             0.65106,             0.26097,            0.052279,             0.10147,            0.014292,           0.0043568,           0.0043568,            0.058857
                  38,            0.048103,            0.033486,            0.021037,             0.31918,             0.78477,              0.4772,             0.12831,            0.050658,             0.10265,            0.014183,            0.004461,            0.004461,            0.057761
                  39,              0.0482,            0.033033,            0.021518,             0.79652,             0.62212,             0.72909,             0.26229,            0.057346,            0.097094,            0.014627,           0.0045645,           0.0045645,            0.056664
                  40,            0.047003,            0.032929,            0.019216,             0.76435,             0.66058,             0.75878,             0.31932,            0.041037,             0.09927,            0.012786,           0.0046671,           0.0046671,            0.055567
                  41,            0.053117,            0.029666,            0.021283,             0.31395,             0.48269,              0.4568,             0.20508,            0.066581,             0.17539,            0.019429,           0.0047688,           0.0047688,            0.054469
                  42,            0.059386,            0.034287,            0.018804,             0.72176,             0.60288,             0.65625,             0.29444,            0.050568,            0.095221,            0.012077,           0.0048697,           0.0048697,             0.05337
                  43,            0.055877,            0.029302,            0.020878,             0.80453,              0.8867,             0.95916,             0.43827,            0.047878,             0.10314,            0.012669,           0.0049697,           0.0049697,             0.05227
                  44,             0.05673,            0.032704,            0.019261,             0.36118,             0.75304,             0.46402,             0.22642,            0.059308,             0.10677,            0.011718,           0.0050687,           0.0050687,            0.051169
                  45,            0.055572,            0.032821,            0.021105,             0.50114,             0.72584,             0.53826,             0.27189,            0.048988,              0.1835,            0.015073,           0.0051669,           0.0051669,            0.050067
                  46,            0.052257,            0.036742,            0.018926,             0.76767,             0.84187,             0.84316,             0.35112,            0.052004,             0.10927,           0.0098057,           0.0052641,           0.0052641,            0.048964
                  47,            0.052974,            0.036531,            0.017712,             0.71655,             0.86512,             0.87573,             0.41857,            0.043896,            0.095577,           0.0096146,           0.0053604,           0.0053604,             0.04786
                  48,            0.051115,             0.03357,            0.018196,              0.8028,             0.63801,             0.75215,             0.34384,            0.042252,             0.15402,            0.011448,           0.0054557,           0.0054557,            0.046756
                  49,             0.05838,            0.036091,            0.016962,             0.77707,             0.85933,             0.92562,             0.39012,            0.048475,              0.1258,            0.013071,           0.0055499,           0.0055499,             0.04565
                  50,            0.055409,            0.031597,            0.016383,             0.82315,             0.83851,             0.88132,              0.3993,            0.040979,             0.12748,            0.012618,           0.0056432,           0.0056432,            0.044543
                  51,            0.053178,            0.030719,             0.01585,             0.59766,             0.73525,             0.74799,             0.36839,            0.041797,             0.20492,            0.011708,           0.0057355,           0.0057355,            0.043436
                  52,            0.054035,             0.03017,            0.014889,              0.7974,             0.77069,             0.89622,             0.39231,             0.03995,             0.14352,            0.011634,           0.0058267,           0.0058267,            0.042327
                  53,            0.049671,            0.030152,            0.014673,              0.8518,             0.73436,             0.92756,             0.43689,            0.042794,             0.16127,            0.010877,           0.0059169,           0.0059169,            0.041217
                  54,            0.055356,            0.028958,            0.015049,             0.84396,             0.96931,             0.89324,             0.40392,             0.04619,             0.10002,             0.00943,            0.006006,            0.006006,            0.040106
                  55,            0.050563,            0.032396,            0.016079,             0.72318,             0.64195,             0.80132,             0.28051,            0.049368,             0.12038,            0.010351,           0.0060941,           0.0060941,            0.038994
                  56,             0.04957,            0.032635,            0.014732,             0.66407,             0.81534,             0.85631,             0.36865,            0.037224,             0.17052,            0.010594,            0.006181,            0.006181,            0.037881
                  57,            0.048113,            0.027141,             0.01346,             0.95634,             0.85663,             0.97821,             0.42674,            0.037953,            0.094349,           0.0097415,           0.0062668,           0.0062668,            0.036767
                  58,            0.048836,            0.030908,            0.014211,             0.84161,             0.94957,             0.96026,              0.4421,             0.03664,            0.093342,           0.0083996,           0.0063515,           0.0063515,            0.035652
                  59,            0.051657,            0.029229,            0.013546,             0.89753,             0.66139,             0.85724,             0.40317,            0.042322,             0.17241,            0.014029,           0.0064351,           0.0064351,            0.034535
                  60,            0.048699,            0.031125,            0.014893,             0.71211,             0.94955,             0.92506,             0.45949,            0.035317,             0.11507,            0.010184,           0.0065175,           0.0065175,            0.033418
                  61,            0.047774,            0.029896,            0.013618,             0.87332,             0.89151,             0.98407,             0.47476,            0.036552,             0.12694,           0.0091773,           0.0065988,           0.0065988,            0.032299
                  62,            0.047318,            0.029628,              0.0137,             0.86242,             0.93871,             0.95283,              0.4603,            0.032495,             0.10162,           0.0073768,           0.0066788,           0.0066788,            0.031179
                  63,            0.046226,             0.03243,            0.012759,              0.7432,              0.7866,              0.9292,             0.42197,            0.036024,             0.19611,           0.0089018,           0.0067577,           0.0067577,            0.030058
                  64,            0.045648,            0.033503,            0.011503,             0.89364,             0.88111,             0.95302,             0.46763,            0.039195,             0.13228,           0.0077191,           0.0068354,           0.0068354,            0.028935
                  65,            0.048168,             0.03547,            0.012676,             0.85118,             0.86678,              0.9407,             0.40031,            0.040783,            0.090319,           0.0066242,           0.0069119,           0.0069119,            0.027812
                  66,            0.045983,            0.025799,            0.012815,             0.87215,             0.94295,               0.981,             0.45382,            0.037596,             0.10939,           0.0067524,           0.0069872,           0.0069872,            0.026687
