               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.060526,            0.053061,            0.036563,             0.83227,             0.39824,             0.46027,             0.19804,            0.054024,            0.090312,            0.033326,           0.0017659,           0.0017659,            0.082866
                  38,            0.058382,            0.054652,             0.03581,              0.7847,             0.37879,              0.4645,             0.16208,            0.068245,            0.090362,            0.032864,           0.0018058,           0.0018058,            0.082406
                  39,            0.055639,            0.047913,            0.035521,             0.82795,              0.3164,             0.42267,             0.16636,            0.053828,            0.088814,            0.032161,           0.0018452,           0.0018452,            0.081945
                  40,            0.057513,            0.052368,            0.035071,             0.78576,              0.2872,               0.396,             0.14755,            0.049958,            0.089977,            0.031605,           0.0018842,           0.0018842,            0.081484
                  41,            0.059453,            0.051371,            0.034418,             0.82544,             0.41074,             0.46197,             0.18286,            0.054803,            0.092277,            0.031005,           0.0019225,           0.0019225,            0.081023
                  42,            0.056276,            0.050844,            0.034018,             0.77356,             0.39592,             0.43542,             0.18632,             0.04672,            0.089596,            0.030736,           0.0019604,           0.0019604,             0.08056
                  43,            0.056212,            0.052374,            0.034161,             0.87465,             0.42383,             0.50992,             0.24332,            0.049459,            0.087196,            0.030509,           0.0019977,           0.0019977,            0.080098
                  44,            0.055001,            0.048588,            0.032437,             0.81063,             0.42346,             0.45478,             0.16066,            0.048837,            0.090624,            0.030276,           0.0020344,           0.0020344,            0.079634
                  45,            0.053037,            0.049039,            0.032334,             0.86482,             0.41082,             0.49353,             0.19225,            0.049507,            0.086738,            0.029462,           0.0020705,           0.0020705,            0.079171
                  46,            0.056853,            0.053782,            0.031432,             0.87861,             0.36635,             0.50692,             0.17622,            0.057309,            0.090996,            0.028911,           0.0021061,           0.0021061,            0.078706
                  47,            0.055618,            0.050767,            0.031156,             0.89189,             0.43622,             0.45995,             0.21578,            0.055366,            0.086632,            0.027813,           0.0021411,           0.0021411,            0.078241
                  48,            0.056616,            0.049124,             0.03115,             0.88554,             0.40417,             0.50745,             0.23537,            0.042945,            0.089696,            0.027174,           0.0021755,           0.0021755,            0.077775
                  49,            0.056313,             0.04954,            0.029377,             0.82743,             0.42981,             0.40928,             0.19824,            0.047334,            0.089727,            0.026037,           0.0022093,           0.0022093,            0.077309
                  50,            0.055738,            0.049987,            0.027654,             0.31999,             0.66421,             0.55292,             0.22893,             0.04257,            0.092419,            0.025033,           0.0022424,           0.0022424,            0.076842
                  51,            0.054067,             0.04729,            0.027413,               0.884,             0.39791,             0.52306,             0.20399,             0.04379,            0.088114,             0.02343,            0.002275,            0.002275,            0.076375
                  52,            0.057201,            0.047646,            0.026231,              0.8361,             0.44216,             0.42471,             0.21076,            0.048414,            0.088249,            0.023302,           0.0023069,           0.0023069,            0.075907
                  53,            0.055533,            0.052034,            0.025236,             0.55612,             0.66409,             0.51611,              0.2149,             0.05318,            0.089526,            0.022126,           0.0023382,           0.0023382,            0.075438
                  54,            0.054791,            0.050551,            0.023405,             0.60116,             0.65984,             0.56303,             0.24411,            0.054625,            0.088758,            0.021147,           0.0023688,           0.0023688,            0.074969
                  55,            0.053568,            0.051695,            0.022716,             0.53601,             0.66667,             0.48287,              0.1994,            0.059011,            0.084657,            0.019272,           0.0023988,           0.0023988,            0.074499
                  56,            0.055829,             0.04971,             0.02298,             0.82409,             0.41058,              0.4682,             0.20293,            0.053559,            0.089468,            0.020154,           0.0024281,           0.0024281,            0.074028
                  57,            0.051335,            0.049471,              0.0225,             0.52682,             0.66597,             0.48691,             0.21729,            0.056566,            0.087372,            0.019033,           0.0024568,           0.0024568,            0.073557
                  58,            0.052855,            0.046565,            0.022463,               0.796,             0.56419,             0.55219,             0.24258,            0.051991,            0.087672,            0.019378,           0.0024848,           0.0024848,            0.073085
                  59,             0.05483,            0.048362,            0.021597,             0.61217,             0.66026,             0.54362,             0.25932,            0.043618,            0.087687,            0.018012,           0.0025121,           0.0025121,            0.072612
                  60,             0.05283,            0.048667,            0.019413,             0.27911,             0.74942,             0.52711,             0.23693,            0.053525,            0.086116,            0.016054,           0.0025387,           0.0025387,            0.072139
